"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","dengue_sj",1,1,"ar1",980,24.1825055421347,61.0429902312057,19,28,11,40,28,3.21004676182952,0.689957237621535,0.730311963788618,3.21004676182952
"2","dengue_sj",1,2,"ar1",980,20.8559963066882,89.8713413045298,14,25,6,42,22,3.22387226429189,0.584445618493316,0.62424625937399,3.22387226429189
"3","dengue_sj",1,3,"ar1",980,18.214258786467,92.2327059796968,11,22,4,40,26,3.82713276363119,0.805876953987433,0.827648905539975,3.82713276363119
"4","dengue_sj",1,4,"ar1",980,16.114050319937,87.4527850463436,9,20,3,38,24,3.87134260909873,0.819195959389233,0.840026342969102,3.87134260909873
"5","dengue_sj",1,5,"ar1",980,14.3205782263329,86.8779278291899,8,18,2,37,9,2.8711960846275,0.290552516314029,0.347183666720497,2.8711960846275
"6","dengue_sj",1,6,"ar1",980,13.1264727287935,82.7865616038354,7,16,2,35,21,3.95689994950094,0.834347075356039,0.853469377960602,3.95689994950094
"7","dengue_sj",1,7,"ar1",980,12.398948967772,76.4533366607482,6,15,2,34,10,2.84967704702895,0.446771061301029,0.504634066188018,2.84967704702895
"8","dengue_sj",1,8,"ar1",980,11.828792165492,76.8499584010111,6,14,2,33,15,3.40676660015816,0.721694758630093,0.754842967325161,3.40676660015816
"9","dengue_sj",1,1,"ar1",981,23.9868313691427,60.1827241037413,18,28,11,40,22,2.94000409322552,0.404187170197759,0.457052682545203,2.94000409322552
"10","dengue_sj",1,2,"ar1",981,21.1535784611423,88.4954457077532,14,25,7,42,26,3.48743694774824,0.72158052744307,0.752159675212761,3.48743694774824
"11","dengue_sj",1,3,"ar1",981,17.9551677752325,93.5182035429437,11,22,4,41,24,3.6839662747354,0.768346213088122,0.793469344809009,3.6839662747354
"12","dengue_sj",1,4,"ar1",981,15.6326138435803,93.6949307794176,9,19,3,39,9,2.97589754098613,0.23875021517552,0.28975185257066,2.97589754098613
"13","dengue_sj",1,5,"ar1",981,13.4876683889932,74.5890175710672,7,17,2,34,21,3.84326528904222,0.825607446863896,0.847030979847019,3.84326528904222
"14","dengue_sj",1,6,"ar1",981,13.5355686431319,90.0821556152399,7,17,2,36,10,2.89642226620541,0.398160032248593,0.453380463312766,2.89642226620541
"15","dengue_sj",1,7,"ar1",981,12.040306474465,71.9468778048935,6,15,2,32,15,3.35189220027174,0.704082339865885,0.739100370111164,3.35189220027174
